mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
random,10,1024,11,8192,1024
random,10,1024,11,1000000,131072
random,10,1024,11,8000000,1048576
random,10,1024,12,8192,1024
random,10,1024,12,1000000,131072
random,10,1024,12,8000000,1048576
random,10,1024,13,8192,1024
random,10,1024,13,1000000,131072
random,10,1024,13,8000000,1048576
random,10,1024,14,8192,1024
random,10,1024,14,1000000,131072
random,10,1024,14,8000000,1048576
random,10,1024,15,8192,1024
random,10,1024,15,1000000,131072
random,10,1024,15,8000000,1048576
random,10,1024,16,8192,1024
random,10,1024,16,1000000,131072
random,10,1024,16,8000000,1048576
random,10,1024,17,8192,1024
random,10,1024,17,1000000,131072
random,10,1024,17,8000000,1048576
random,10,1024,18,8192,1024
random,10,1024,18,1000000,131072
random,10,1024,18,8000000,1048576
random,10,1024,19,8192,1024
random,10,1024,19,1000000,131072
random,10,1024,19,8000000,1048576
random,10,1024,20,8192,1024
random,10,1024,20,1000000,131072
random,10,1024,20,8000000,1048576
random,11,2048,1,8192,1024
random,11,2048,1,1000000,131072
random,11,2048,1,8000000,1048576
random,11,2048,2,8192,1024
random,11,2048,2,1000000,131072
random,11,2048,2,8000000,1048576
random,11,2048,3,8192,1024
random,11,2048,3,1000000,131072
random,11,2048,3,8000000,1048576
random,11,2048,4,8192,1024
random,11,2048,4,1000000,131072
random,11,2048,4,8000000,1048576
random,11,2048,5,8192,1024
random,11,2048,5,1000000,131072
random,11,2048,5,8000000,1048576
random,11,2048,6,8192,1024
random,11,2048,6,1000000,131072
random,11,2048,6,8000000,1048576
random,11,2048,7,8192,1024
random,11,2048,7,1000000,131072
random,11,2048,7,8000000,1048576
random,11,2048,8,8192,1024
random,11,2048,8,1000000,131072
random,11,2048,8,8000000,1048576
random,11,2048,9,8192,1024
random,11,2048,9,1000000,131072
random,11,2048,9,8000000,1048576
random,11,2048,10,8192,1024
random,11,2048,10,1000000,131072
random,11,2048,10,8000000,1048576
random,11,2048,11,8192,1024
random,11,2048,11,1000000,131072
random,11,2048,11,8000000,1048576
random,11,2048,12,8192,1024
random,11,2048,12,1000000,131072
random,11,2048,12,8000000,1048576
random,11,2048,13,8192,1024
random,11,2048,13,1000000,131072
random,11,2048,13,8000000,1048576
random,11,2048,14,8192,1024
random,11,2048,14,1000000,131072
random,11,2048,14,8000000,1048576
random,11,2048,15,8192,1024
random,11,2048,15,1000000,131072
random,11,2048,15,8000000,1048576
random,11,2048,16,8192,1024
random,11,2048,16,1000000,131072
random,11,2048,16,8000000,1048576
random,11,2048,17,8192,1024
random,11,2048,17,1000000,131072
random,11,2048,17,8000000,1048576
random,11,2048,18,8192,1024
random,11,2048,18,1000000,131072
random,11,2048,18,8000000,1048576
random,11,2048,19,8192,1024
random,11,2048,19,1000000,131072
random,11,2048,19,8000000,1048576
random,11,2048,20,8192,1024
random,11,2048,20,1000000,131072
random,11,2048,20,8000000,1048576
random,12,4096,1,8192,2048
random,12,4096,1,1000000,262144
random,12,4096,1,8000000,2097152
random,12,4096,2,8192,2048
random,12,4096,2,1000000,262144
random,12,4096,2,8000000,2097152
random,12,4096,3,8192,2048
random,12,4096,3,1000000,262144
random,12,4096,3,8000000,2097152
random,12,4096,4,8192,2048
random,12,4096,4,1000000,262144
random,12,4096,4,8000000,2097152
random,12,4096,5,8192,2048
random,12,4096,5,1000000,262144
random,12,4096,5,8000000,2097152
random,12,4096,6,8192,2048
random,12,4096,6,1000000,262144
random,12,4096,6,8000000,2097152
random,12,4096,7,8192,2048
random,12,4096,7,1000000,262144
random,12,4096,7,8000000,2097152
random,12,4096,8,8192,2048
random,12,4096,8,1000000,262144
