mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
worst_overlap,7,128,19,1000000,131072
worst_overlap,7,128,19,8000000,1048576
worst_overlap,7,128,20,8192,1024
worst_overlap,7,128,20,1000000,131072
worst_overlap,7,128,20,8000000,1048576
worst_overlap,8,256,1,8192,512
worst_overlap,8,256,1,1000000,65536
worst_overlap,8,256,1,8000000,524288
worst_overlap,8,256,2,8192,512
worst_overlap,8,256,2,1000000,65536
worst_overlap,8,256,2,8000000,524288
worst_overlap,8,256,3,8192,1024
worst_overlap,8,256,3,1000000,131072
worst_overlap,8,256,3,8000000,1048576
worst_overlap,8,256,4,8192,1024
worst_overlap,8,256,4,1000000,131072
worst_overlap,8,256,4,8000000,1048576
worst_overlap,8,256,5,8192,1024
worst_overlap,8,256,5,1000000,131072
worst_overlap,8,256,5,8000000,1048576
worst_overlap,8,256,6,8192,1024
worst_overlap,8,256,6,1000000,131072
worst_overlap,8,256,6,8000000,1048576
worst_overlap,8,256,7,8192,1024
worst_overlap,8,256,7,1000000,131072
worst_overlap,8,256,7,8000000,1048576
worst_overlap,8,256,8,8192,1024
worst_overlap,8,256,8,1000000,131072
worst_overlap,8,256,8,8000000,1048576
worst_overlap,8,256,9,8192,1024
worst_overlap,8,256,9,1000000,131072
worst_overlap,8,256,9,8000000,1048576
worst_overlap,8,256,10,8192,1024
worst_overlap,8,256,10,1000000,131072
worst_overlap,8,256,10,8000000,1048576
worst_overlap,8,256,11,8192,2048
worst_overlap,8,256,11,1000000,131072
worst_overlap,8,256,11,8000000,1048576
worst_overlap,8,256,12,8192,2048
worst_overlap,8,256,12,1000000,262144
worst_overlap,8,256,12,8000000,2097152
worst_overlap,8,256,13,8192,2048
worst_overlap,8,256,13,1000000,262144
worst_overlap,8,256,13,8000000,2097152
worst_overlap,8,256,14,8192,2048
worst_overlap,8,256,14,1000000,262144
worst_overlap,8,256,14,8000000,2097152
worst_overlap,8,256,15,8192,2048
worst_overlap,8,256,15,1000000,262144
worst_overlap,8,256,15,8000000,2097152
worst_overlap,8,256,16,8192,2048
worst_overlap,8,256,16,1000000,262144
worst_overlap,8,256,16,8000000,2097152
worst_overlap,8,256,17,8192,2048
worst_overlap,8,256,17,1000000,262144
worst_overlap,8,256,17,8000000,2097152
worst_overlap,8,256,18,8192,2048
worst_overlap,8,256,18,1000000,262144
worst_overlap,8,256,18,8000000,2097152
worst_overlap,8,256,19,8192,2048
worst_overlap,8,256,19,1000000,262144
worst_overlap,8,256,19,8000000,2097152
worst_overlap,8,256,20,8192,2048
worst_overlap,8,256,20,1000000,262144
worst_overlap,8,256,20,8000000,2097152
worst_overlap,9,512,1,8192,512
worst_overlap,9,512,1,1000000,65536
worst_overlap,9,512,1,8000000,524288
worst_overlap,9,512,2,8192,1024
worst_overlap,9,512,2,1000000,131072
worst_overlap,9,512,2,8000000,1048576
worst_overlap,9,512,3,8192,1024
worst_overlap,9,512,3,1000000,131072
worst_overlap,9,512,3,8000000,1048576
worst_overlap,9,512,4,8192,1024
worst_overlap,9,512,4,1000000,131072
worst_overlap,9,512,4,8000000,1048576
worst_overlap,9,512,5,8192,1024
worst_overlap,9,512,5,1000000,131072
worst_overlap,9,512,5,8000000,1048576
worst_overlap,9,512,6,8192,2048
worst_overlap,9,512,6,1000000,262144
worst_overlap,9,512,6,8000000,2097152
worst_overlap,9,512,7,8192,2048
worst_overlap,9,512,7,1000000,262144
worst_overlap,9,512,7,8000000,2097152
worst_overlap,9,512,8,8192,2048
worst_overlap,9,512,8,1000000,262144
worst_overlap,9,512,8,8000000,2097152
worst_overlap,9,512,9,8192,2048
worst_overlap,9,512,9,1000000,262144
worst_overlap,9,512,9,8000000,2097152
worst_overlap,9,512,10,8192,2048
worst_overlap,9,512,10,1000000,262144
worst_overlap,9,512,10,8000000,2097152
worst_overlap,9,512,11,8192,2048
worst_overlap,9,512,11,1000000,262144
worst_overlap,9,512,11,8000000,2097152
worst_overlap,9,512,12,8192,2048
worst_overlap,9,512,12,1000000,262144
worst_overlap,9,512,12,8000000,2097152
worst_overlap,9,512,13,8192,2048
worst_overlap,9,512,13,1000000,262144
worst_overlap,9,512,13,8000000,2097152
worst_overlap,9,512,14,8192,2048
worst_overlap,9,512,14,1000000,262144
worst_overlap,9,512,14,8000000,2097152
worst_overlap,9,512,15,8192,2048
worst_overlap,9,512,15,1000000,262144
worst_overlap,9,512,15,8000000,2097152
worst_overlap,9,512,16,8192,2048
worst_overlap,9,512,16,1000000,262144
worst_overlap,9,512,16,8000000,2097152
worst_overlap,9,512,17,8192,2048
worst_overlap,9,512,17,1000000,262144
worst_overlap,9,512,17,8000000,2097152
worst_overlap,9,512,18,8192,2048
worst_overlap,9,512,18,1000000,262144
worst_overlap,9,512,18,8000000,2097152
worst_overlap,9,512,19,8192,2048
worst_overlap,9,512,19,1000000,262144
worst_overlap,9,512,19,8000000,2097152
worst_overlap,9,512,20,8192,2048
worst_overlap,9,512,20,1000000,262144
worst_overlap,9,512,20,8000000,2097152
worst_overlap,10,1024,1,8192,1024
worst_overlap,10,1024,1,1000000,131072
worst_overlap,10,1024,1,8000000,1048576
worst_overlap,10,1024,2,8192,1024
worst_overlap,10,1024,2,1000000,131072
worst_overlap,10,1024,2,8000000,1048576
worst_overlap,10,1024,3,8192,2048
worst_overlap,10,1024,3,1000000,262144
worst_overlap,10,1024,3,8000000,2097152
worst_overlap,10,1024,4,8192,2048
worst_overlap,10,1024,4,1000000,262144
worst_overlap,10,1024,4,8000000,2097152
worst_overlap,10,1024,5,8192,2048
worst_overlap,10,1024,5,1000000,262144
worst_overlap,10,1024,5,8000000,2097152
worst_overlap,10,1024,6,8192,2048
worst_overlap,10,1024,6,1000000,262144
worst_overlap,10,1024,6,8000000,2097152
worst_overlap,10,1024,7,8192,2048
worst_overlap,10,1024,7,1000000,262144
worst_overlap,10,1024,7,8000000,2097152
worst_overlap,10,1024,8,8192,2048
worst_overlap,10,1024,8,1000000,262144
worst_overlap,10,1024,8,8000000,2097152
worst_overlap,10,1024,9,8192,2048
worst_overlap,10,1024,9,1000000,262144
worst_overlap,10,1024,9,8000000,2097152
worst_overlap,10,1024,10,8192,2048
worst_overlap,10,1024,10,1000000,262144
worst_overlap,10,1024,10,8000000,2097152
worst_overlap,10,1024,11,8192,4096
worst_overlap,10,1024,11,1000000,262144
worst_overlap,10,1024,11,8000000,2097152
worst_overlap,10,1024,12,8192,4096
worst_overlap,10,1024,12,1000000,524288
worst_overlap,10,1024,12,8000000,4194304
worst_overlap,10,1024,13,8192,4096
worst_overlap,10,1024,13,1000000,524288
worst_overlap,10,1024,13,8000000,4194304
worst_overlap,10,1024,14,8192,4096
worst_overlap,10,1024,14,1000000,524288
worst_overlap,10,1024,14,8000000,4194304
worst_overlap,10,1024,15,8192,4096
worst_overlap,10,1024,15,1000000,524288
worst_overlap,10,1024,15,8000000,4194304
worst_overlap,10,1024,16,8192,4096
worst_overlap,10,1024,16,1000000,524288
worst_overlap,10,1024,16,8000000,4194304
worst_overlap,10,1024,17,8192,4096
worst_overlap,10,1024,17,1000000,524288
worst_overlap,10,1024,17,8000000,4194304
worst_overlap,10,1024,18,8192,4096
worst_overlap,10,1024,18,1000000,524288
worst_overlap,10,1024,18,8000000,4194304
worst_overlap,10,1024,19,8192,4096
worst_overlap,10,1024,19,1000000,524288
worst_overlap,10,1024,19,8000000,4194304
worst_overlap,10,1024,20,8192,4096
worst_overlap,10,1024,20,1000000,524288
worst_overlap,10,1024,20,8000000,4194304
worst_overlap,11,2048,1,8192,1024
worst_overlap,11,2048,1,1000000,131072
worst_overlap,11,2048,1,8000000,1048576
worst_overlap,11,2048,2,8192,2048
worst_overlap,11,2048,2,1000000,262144
worst_overlap,11,2048,2,8000000,2097152
worst_overlap,11,2048,3,8192,2048
worst_overlap,11,2048,3,1000000,262144
worst_overlap,11,2048,3,8000000,2097152
worst_overlap,11,2048,4,8192,2048
worst_overlap,11,2048,4,1000000,262144
worst_overlap,11,2048,4,8000000,2097152
worst_overlap,11,2048,5,8192,2048
worst_overlap,11,2048,5,1000000,262144
worst_overlap,11,2048,5,8000000,2097152
worst_overlap,11,2048,6,8192,4096
worst_overlap,11,2048,6,1000000,524288
worst_overlap,11,2048,6,8000000,4194304
worst_overlap,11,2048,7,8192,4096
worst_overlap,11,2048,7,1000000,524288
worst_overlap,11,2048,7,8000000,4194304
worst_overlap,11,2048,8,8192,4096
worst_overlap,11,2048,8,1000000,524288
worst_overlap,11,2048,8,8000000,4194304
worst_overlap,11,2048,9,8192,4096
worst_overlap,11,2048,9,1000000,524288
worst_overlap,11,2048,9,8000000,4194304
worst_overlap,11,2048,10,8192,4096
